1,1,1,113,611127
1,1,2,66,648695
1,1,3,85,648439
1,1,4,134,660655
1,1,5,150,677778
1,1,6,251,608163
1,1,7,351,541675
1,1,8,488,514860
1,1,9,796,506051
1,1,10,1568,507448
1,1,11,3266,499502
1,1,12,5223,440320
1,1,13,6243,343997
1,1,14,6479,250321
1,1,15,4126,153677
1,1,16,2567,91698
1,1,17,1381,50022
1,1,18,917,35246
1,1,19,0,0
2,1,1,123,595596
2,1,2,70,632515
2,1,3,75,636578
2,1,4,98,654622
2,1,5,164,691198
2,1,6,360,661476
2,1,7,644,634507
2,1,8,1120,627451
2,1,9,1745,620220
2,1,10,2421,606394
2,1,11,3567,598788
2,1,12,4287,533957
2,1,13,4630,443526
2,1,14,4656,336347
2,1,15,3371,216867
2,1,16,2552,143748
2,1,17,1774,96106
2,1,18,1569,97657
2,1,19,0,0
1,2,1,113,611127
1,2,2,64,648695
1,2,3,84,648439
1,2,4,130,660655
1,2,5,146,677778
1,2,6,243,608163
1,2,7,337,541675
1,2,8,480,514860
1,2,9,786,506051
1,2,10,1558,507448
1,2,11,3261,499502
1,2,12,5219,440320
1,2,13,6233,343997
1,2,14,6475,250321
1,2,15,4122,153677
1,2,16,2564,91698
1,2,17,1380,50022
1,2,18,916,35246
1,2,19,0,0
2,2,1,123,595596
2,2,2,70,632515
2,2,3,74,636578
2,2,4,94,654622
2,2,5,158,691198
2,2,6,347,661476
2,2,7,636,634507
2,2,8,1115,627451
2,2,9,1740,620220
2,2,10,2407,606394
2,2,11,3561,598788
2,2,12,4272,533957
2,2,13,4625,443526
2,2,14,4645,336347
2,2,15,3369,216867
2,2,16,2548,143748
2,2,17,1772,96106
2,2,18,1566,97657
2,2,19,0,0
1,3,1,0,611127
1,3,2,0,648695
1,3,3,0,648439
1,3,4,0,660655
1,3,5,0,677778
1,3,6,0,608163
1,3,7,0,541675
1,3,8,2,514860
1,3,9,0,506051
1,3,10,1,507448
1,3,11,3,499502
1,3,12,2,440320
1,3,13,1,343997
1,3,14,0,250321
1,3,15,0,153677
1,3,16,0,91698
1,3,17,1,50022
1,3,18,0,35246
1,3,19,0,0
2,3,1,0,595596
2,3,2,0,632515
2,3,3,0,636578
2,3,4,0,654622
2,3,5,0,691198
2,3,6,1,661476
2,3,7,0,634507
2,3,8,0,627451
2,3,9,0,620220
2,3,10,0,606394
2,3,11,0,598788
2,3,12,1,533957
2,3,13,0,443526
2,3,14,1,336347
2,3,15,0,216867
2,3,16,0,143748
2,3,17,0,96106
2,3,18,0,97657
2,3,19,0,0
1,4,1,0,611127
1,4,2,0,648695
1,4,3,0,648439
1,4,4,0,660655
1,4,5,0,677778
1,4,6,0,608163
1,4,7,0,541675
1,4,8,2,514860
1,4,9,6,506051
1,4,10,12,507448
1,4,11,21,499502
1,4,12,25,440320
1,4,13,30,343997
1,4,14,28,250321
1,4,15,12,153677
1,4,16,4,91698
1,4,17,5,50022
1,4,18,1,35246
1,4,19,0,0
2,4,1,0,595596
2,4,2,0,632515
2,4,3,0,636578
2,4,4,0,654622
2,4,5,0,691198
2,4,6,0,661476
2,4,7,0,634507
2,4,8,0,627451
2,4,9,1,620220
2,4,10,1,606394
2,4,11,7,598788
2,4,12,12,533957
2,4,13,10,443526
2,4,14,2,336347
2,4,15,3,216867
